# FIBERD   FIBERSEP
4.2  6.8
# ID    FIBER_X   FIBER_Y
217 46.4293 -37.11600
218 -50.0008 -43.30200
219 -42.8579 -43.30200
220 -35.7149 -43.30200
221 -28.5719 -43.30200
222 -21.4289 -43.30200
223 -14.286 -43.30200
224 -7.14298 -43.30200
225 0 -43.30200
226 7.14298 -43.30200
227 14.286 -43.30200
228 21.4289 -43.30200
229 28.5719 -43.30200
230 35.7149 -43.30200
231 42.8579 -43.30200
232 50.0008 -43.30200
233 -46.4293 -49.48800
234 -39.2864 -49.48800
235 -32.1434 -49.48800
236 -25.0004 -49.48800
237 -17.8574 -49.48800
238 -10.7145 -49.48800
239 -3.57149 -49.48800
240 3.57149 -49.48800
241 10.7145 -49.48800
242 17.8574 -49.48800
243 25.0004 -49.48800
244 32.1434 -49.48800
245 39.2864 -49.48800
246 46.4293 -49.48800
